GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.dto.request,CustomerRequest,0,66,0,0,0,11,0,19,0,19
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.dto.request,CreateTransactionRequest,0,73,0,0,0,12,0,21,0,21
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.resilience,Resilience4jCircuitBreakerAdapter,22,18,0,0,5,5,1,3,1,3
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.mapper,TransactionPersistenceMapperImpl,8,277,4,4,4,61,4,5,0,5
transaction-orchestrator,com.tumipay.orchestrator.domain.exception,DuplicateTransactionException,0,5,0,0,0,2,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.domain.exception,ConcurrentModificationException,0,5,0,0,0,2,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.domain.exception,PaymentProviderNotFoundException,0,5,0,0,0,2,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.domain.exception,TransactionNotFoundException,0,5,0,0,0,2,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.controller,TransactionController,0,44,0,0,0,10,0,3,0,3
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.dto.response,TransactionResponse.TransactionResponseBuilder,18,63,0,0,0,1,1,10,1,10
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.dto.response,ApiResponse,0,43,0,0,0,14,0,7,0,7
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.dto.response,ApiResponse.ApiResponseBuilder,8,28,0,0,0,1,1,5,1,5
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.dto.response,TransactionResponse,0,55,0,0,0,9,0,10,0,10
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.provider,MockPaymentProviderAdapter,0,31,0,0,0,6,0,4,0,4
transaction-orchestrator,com.tumipay.orchestrator.domain.port.in,CreateTransactionCommand.CreateTransactionCommandBuilder,22,77,0,0,0,1,1,12,1,12
transaction-orchestrator,com.tumipay.orchestrator.domain.port.in,CreateTransactionCommand,0,67,0,0,0,11,0,12,0,12
transaction-orchestrator,com.tumipay.orchestrator,TransactionOrchestratorApplication,5,3,0,0,2,1,1,1,1,1
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.messaging.kafka,KafkaAuditConsumer,83,49,0,0,20,9,1,3,1,3
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.messaging.kafka,KafkaTopicConfig,0,21,0,0,0,9,0,3,0,3
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.messaging.kafka,KafkaAuditPublisherAdapter,46,110,1,1,3,21,1,7,0,7
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.messaging.kafka,KafkaConsumerConfig,0,16,0,0,0,5,0,2,0,2
transaction-orchestrator,com.tumipay.orchestrator.application.service,TransactionService,0,213,1,5,0,49,1,13,0,11
transaction-orchestrator,com.tumipay.orchestrator.application.service,AuditService.new TransactionSynchronization() {...},0,13,0,0,0,3,0,2,0,2
transaction-orchestrator,com.tumipay.orchestrator.application.service,AuditService,0,106,0,8,0,35,0,13,0,9
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.mapper,TransactionRestMapperImpl,4,110,2,2,2,25,2,3,0,3
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.in.rest.mapper,TransactionRestMapper,2,32,1,1,0,12,1,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.domain.model,CustomerAuditEvent,45,131,0,0,1,32,1,17,1,17
transaction-orchestrator,com.tumipay.orchestrator.domain.model,Transaction.TransactionBuilder,30,105,0,0,0,1,1,16,1,16
transaction-orchestrator,com.tumipay.orchestrator.domain.model,CustomerAuditEvent.CustomerAuditEventBuilder,30,105,0,0,0,1,1,16,1,16
transaction-orchestrator,com.tumipay.orchestrator.domain.model,Customer.CustomerBuilder,22,77,0,0,0,1,1,12,1,12
transaction-orchestrator,com.tumipay.orchestrator.domain.model,TransactionStatus,0,45,0,0,0,8,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.domain.model,TransactionAuditEvent,0,283,0,2,0,42,0,24,0,23
transaction-orchestrator,com.tumipay.orchestrator.domain.model,Transaction,0,176,0,2,0,48,0,20,0,19
transaction-orchestrator,com.tumipay.orchestrator.domain.model,Customer,0,67,0,0,0,11,0,12,0,12
transaction-orchestrator,com.tumipay.orchestrator.domain.model,AuditAction,0,21,0,0,0,4,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.domain.model,TransactionAuditEvent.TransactionAuditEventBuilder,36,126,0,0,0,1,1,19,1,19
transaction-orchestrator,com.tumipay.orchestrator.domain.port.out,CustomerRepository.CustomerResult,0,9,0,0,0,1,0,1,0,1
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence,CustomerPersistenceAdapter,0,138,0,2,0,33,0,8,0,7
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence,TransactionPersistenceAdapter,13,102,0,2,4,20,0,8,0,7
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence,AuditPersistenceAdapter,1,182,1,3,0,49,1,5,0,4
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,TransactionEntity,51,119,0,0,1,19,13,22,13,22
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,CustomerEntity,40,70,0,0,1,13,10,13,10,13
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,TransactionAuditEntity,102,88,0,0,11,11,28,11,28,11
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,CustomerAuditEntity.CustomerAuditEntityBuilder,37,107,0,0,0,1,2,16,2,16
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,CustomerEntity.CustomerEntityBuilder,22,77,0,0,0,1,1,12,1,12
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,TransactionAuditEntity.TransactionAuditEntityBuilder,43,128,0,0,0,1,2,19,2,19
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,CustomerAuditEntity,81,79,0,0,8,11,22,11,22,11
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.adapter.out.persistence.entity,TransactionEntity.TransactionEntityBuilder,44,109,0,0,0,1,3,16,3,16
transaction-orchestrator,com.tumipay.orchestrator.infrastructure.exception,GlobalExceptionHandler,9,73,0,0,3,25,1,8,1,8
